contour_index,point_index,row,column
0,0,-38.277401,-21.425800
0,1,-38.545277,-20.509314
0,2,-38.709251,-19.529568
0,3,-38.798038,-18.517439
0,4,-38.830601,-17.500000
0,5,-38.826118,-16.496550
0,6,-38.813438,-15.501641
0,7,-38.803482,-14.500000
0,8,-38.797127,-13.498491
0,9,-38.792770,-12.500000
0,10,-38.795715,-11.504549
0,11,-38.804592,-10.504759
0,12,-38.811398,-9.496757
0,13,-38.810268,-8.498384
0,14,-38.808899,-7.504777
0,15,-38.808281,-6.503146
0,16,-38.806786,-5.496870
0,17,-38.798954,-4.496934
0,18,-38.785885,-3.497083
0,19,-38.775661,-2.498608
0,20,-38.777214,-1.504179
0,21,-38.788479,-0.505857
0,22,-38.799469,0.496960
0,23,-38.794804,1.504467
0,24,-38.786842,2.504303
0,25,-38.785019,3.497135
0,26,-38.791019,4.495613
0,27,-38.791039,5.502925
0,28,-38.786686,6.501441
0,29,-38.785580,7.498550
0,30,-38.792133,8.497004
0,31,-38.799988,9.495337
0,32,-38.809341,10.495216
0,33,-38.818352,11.498367
0,34,-38.827930,12.500000
0,35,-38.839706,13.498249
0,36,-38.843750,14.500000
0,37,-38.835209,15.507057
0,38,-38.803883,16.507956
0,39,-38.759418,17.510698
0,40,-38.691746,18.517883
0,41,-38.588940,19.513866
0,42,-38.403763,20.475382
0,43,-37.844021,21.710934
0,44,-36.904888,22.888018
0,45,-35.747612,23.820568
0,46,-34.565056,24.607187
0,47,-33.420391,25.368572
0,48,-32.229374,26.038168
0,49,-31.500628,26.501078
0,50,-30.346546,27.233055
0,51,-29.575399,27.633873
0,52,-28.418745,28.354244
0,53,-27.202433,28.961546
0,54,-26.469585,29.441788
0,55,-25.284729,30.110121
0,56,-24.519672,30.534864
0,57,-23.360081,31.249311
0,58,-22.575611,31.637970
0,59,-21.422049,32.367790
0,60,-20.228811,32.996365
0,61,-19.484039,33.471142
0,62,-18.305702,34.158943
0,63,-17.533222,34.562946
0,64,-16.369473,35.269894
0,65,-15.129589,35.843971
0,66,-14.439154,36.382275
0,67,-13.221491,36.994797
0,68,-12.478392,37.458828
0,69,-11.286039,38.108551
0,70,-10.523626,38.541286
0,71,-9.373598,39.288471
0,72,-8.177204,39.907528
0,73,-7.456371,40.413746
0,74,-6.248053,41.026829
0,75,-5.472552,41.446323
0,76,-4.271498,42.042995
0,77,-3.483403,42.466995
0,78,-2.659234,42.855049
0,79,-1.447991,43.309299
0,80,-0.497226,43.410297
0,81,0.471311,43.356552
0,82,1.380006,43.143951
0,83,2.553418,42.626263
0,84,3.405111,42.295361
0,85,4.570106,41.634113
0,86,5.386570,41.275719
0,87,6.552377,40.594727
0,88,7.344508,40.222210
0,89,8.497446,39.495586
0,90,9.252266,39.067978
0,91,10.417377,38.349949
0,92,11.084103,37.781631
0,93,12.323238,37.184639
0,94,13.494642,36.489471
