contour_index,point_index,row,column
0,0,-48.005074,-0.476571
0,1,-48.050457,0.507887
0,2,-48.057358,1.492234
0,3,-48.038208,2.491851
0,4,-48.000572,3.485224
0,5,-47.936821,4.525545
0,6,-47.840179,5.533046
0,7,-47.691292,6.535665
0,8,-47.462414,7.486210
0,9,-46.679634,8.690290
0,10,-45.470139,9.389080
0,11,-44.504780,9.548538
0,12,-43.507950,9.628528
0,13,-42.507271,9.677221
0,14,-41.507687,9.714126
0,15,-40.513252,9.758389
0,16,-39.533978,9.839792
0,17,-38.582157,10.019348
0,18,-37.450813,10.347442
0,19,-36.011169,10.898739
0,20,-34.929588,12.125401
0,21,-34.334377,13.422644
0,22,-33.733288,14.593866
0,23,-33.417244,15.468246
0,24,-32.903591,16.632919
0,25,-32.640362,17.536222
0,26,-32.511299,18.501308
0,27,-32.495445,19.500319
0,28,-32.619019,20.468216
0,29,-32.906437,21.298128
0,30,-33.630455,22.393772
0,31,-34.572910,23.431408
0,32,-35.560890,24.441835
0,33,-36.522533,25.479898
0,34,-37.134602,26.027983
0,35,-37.674458,27.452908
0,36,-37.725784,28.530727
0,37,-37.503918,29.501804
0,38,-36.786163,30.689486
0,39,-36.027767,31.892759
0,40,-35.484219,32.487396
0,41,-34.551094,33.545540
0,42,-33.577229,34.574909
0,43,-32.587719,35.586391
0,44,-31.563274,36.568336
0,45,-30.526642,37.531227
0,46,-29.451553,38.433659
0,47,-28.312302,39.102081
0,48,-27.473280,39.371883
0,49,-26.505138,39.424908
0,50,-25.583748,39.274525
0,51,-24.935598,38.796745
0,52,-23.817305,38.141308
0,53,-22.778339,37.212681
0,54,-21.777157,36.206940
0,55,-20.709051,35.251640
0,56,-19.544724,34.421158
0,57,-18.392643,33.918007
0,58,-17.483650,33.752800
0,59,-16.528290,33.755901
0,60,-15.591542,33.916519
0,61,-14.437372,34.306812
0,62,-13.531454,34.586384
0,63,-12.329895,35.101467
0,64,-11.492619,35.483963
0,65,-10.270875,36.152767
0,66,-9.057311,37.110863
0,67,-8.324501,38.420227
0,68,-7.887737,39.587704
0,69,-7.718915,40.518551
0,70,-7.650311,41.500835
0,71,-7.635491,42.496235
0,72,-7.631884,43.500000
0,73,-7.591916,44.505554
0,74,-7.468462,45.494919
0,75,-7.027490,46.831680
0,76,-5.672069,47.894745
0,77,-4.467308,48.300682
0,78,-3.492849,48.433601
0,79,-2.501372,48.516724
0,80,-1.504991,48.581520
0,81,-0.507604,48.634808
0,82,0.492928,48.669739
0,83,1.500945,48.681530
0,84,2.505250,48.670628
0,85,3.506310,48.638111
0,86,4.506857,48.584003
0,87,5.500402,48.503960
0,88,6.482460,48.385403
0,89,7.423074,48.190586
0,90,8.593352,47.642887
0,91,9.572015,46.535557
0,92,9.865479,45.582180
0,93,10.068742,44.460571
0,94,10.176546,43.485622
0,95,10.244281,42.495831
0,96,10.293810,41.491180
0,97,10.341597,40.490829
0,98,10.414613,39.493839
0,99,10.551308,38.509209
0,100,10.978954,37.192440
0,101,12.121758,35.946575
0,102,13.405343,35.316006
0,103,14.574436,34.664303
0,104,15.429010,34.329624
0,105,16.596848,33.778248
0,106,17.503338,33.511623
0,107,18.458586,33.312187
0,108,19.476954,33.187225
0,109,20.545755,33.244305
0,110,21.512943,33.469135
0,111,22.761684,34.127296
0,112,23.937174,35.043133
0,113,24.929605,36.091873
0,114,25.911077,37.063457
0,115,26.454483,37.558811
0,116,27.596998,38.281097
0,117,28.501053,38.493252
0,118,29.499777,38.498394
0,119,30.412352,38.298290
0,120,31.554060,37.573898
0,121,32.168583,37.082542
0,122,33.250729,36.221153
0,123,34.312828,35.294567
0,124,35.308750,34.322811
0,125,36.277058,33.287266
0,126,37.178413,32.233612
0,127,37.983006,31.107243
0,128,38.481026,30.487970
0,129,38.963127,29.346119
0,130,39.141075,28.495802
0,131,39.127987,27.546501
0,132,38.898506,26.409773
0,133,38.591969,25.468975
0,134,38.261299,24.630062
0,135,37.497238,23.502182
0,136,36.905903,23.043322
0,137,35.971916,22.005709
0,138,35.069473,20.856630
0,139,34.319576,19.583992
0,140,33.958057,18.448833
0,141,33.936348,17.550793
0,142,34.214401,16.411753
0,143,34.501068,15.500389
0,144,34.818298,14.616587
0,145,35.365070,13.446028
0,146,35.690342,12.583138
0,147,36.327450,11.415239
0,148,37.071697,10.153578
0,149,38.376534,9.241307
0,150,39.553280,8.782232
0,151,40.512566,8.626896
0,152,41.503128,8.547655
0,153,42.500172,8.508382
0,154,43.500050,8.490147
0,155,44.499763,8.476917
0,156,45.497837,8.447050
0,157,46.475578,8.342517
0,158,47.313347,8.098569
0,159,48.299351,7.337995
0,160,48.674011,6.573041
0,161,49.058376,5.427688
0,162,49.211143,4.477408
0,163,49.301849,3.485924
0,164,49.369129,2.489331
0,165,49.412067,1.497133
0,166,49.425674,0.501616
0,167,49.407452,-0.496460
0,168,49.369682,-1.494240
0,169,49.320103,-2.491005
0,170,49.258385,-3.483802
0,171,49.171356,-4.464319
0,172,49.035797,-5.426853
0,173,48.762207,-6.566773
0,174,48.450836,-7.476388
0,175,47.587307,-8.603827
0,176,46.424908,-9.250175
0,177,45.492153,-9.429013
0,178,44.500191,-9.509422
0,179,43.502327,-9.551183
0,180,42.504887,-9.587080
0,181,41.503132,-9.622812
0,182,40.507771,-9.669202
0,183,39.533340,-9.756054
0,184,38.596951,-9.949959
0,185,37.451607,-10.412997
0,186,36.367828,-11.410223
0,187,35.677502,-12.578453
0,188,35.356045,-13.442736
0,189,34.798649,-14.614339
0,190,34.483208,-15.493794
0,191,34.188183,-16.399584
0,192,33.872471,-17.559437
0,193,33.806461,-18.495260
0,194,33.885563,-19.446959
0,195,34.231960,-20.593889
0,196,34.586227,-21.446819
0,197,35.458691,-22.537500
0,198,36.449257,-23.553102
0,199,37.470516,-24.529921
0,200,38.462795,-25.534546
0,201,39.310989,-26.620279
0,202,39.566116,-27.482290
0,203,39.601166,-28.519754
0,204,39.395260,-29.442928
0,205,38.625965,-30.597975
0,206,37.736473,-31.695269
0,207,36.809837,-32.780094
0,208,35.814953,-33.812305
0,209,34.780384,-34.800232
0,210,33.756664,-35.792313
0,211,32.681400,-36.720760
0,212,31.586987,-37.612759
0,213,30.468960,-38.452469
0,214,29.728342,-38.909843
0,215,28.475330,-39.383320
0,216,27.513554,-39.398918
0,217,26.205502,-39.068546
0,218,25.475510,-38.533703
0,219,24.390787,-37.619865
0,220,23.350863,-36.658916
0,221,22.319765,-35.714027
0,222,21.250914,-34.885681
0,223,20.536251,-34.434906
0,224,19.372616,-33.824081
0,225,18.483297,-33.635021
0,226,17.515009,-33.620068
0,227,16.568659,-33.767628
0,228,15.390595,-34.216183
0,229,14.507912,-34.521557
0,230,13.635478,-34.848656
0,231,12.467579,-35.430962
0,232,11.232981,-36.080002
0,233,9.997345,-37.151443
0,234,9.496969,-38.499241
0,235,9.323718,-39.481045
0,236,9.225868,-40.484940
0,237,9.193006,-41.498302
0,238,9.200523,-42.506546
0,239,9.208450,-43.500000
0,240,9.179267,-44.489597
0,241,9.058681,-45.449562
0,242,8.694608,-46.587452
0,243,7.639258,-47.751991
0,244,6.447423,-48.256832
0,245,5.489387,-48.428635
0,246,4.503749,-48.538677
0,247,3.507072,-48.606621
0,248,2.502264,-48.647175
0,249,1.503472,-48.667519
0,250,0.500000,-48.672329
0,251,-0.506726,-48.658894
0,252,-1.506317,-48.633358
0,253,-2.504483,-48.594143
0,254,-3.502963,-48.543083
0,255,-4.494707,-48.458313
0,256,-5.462668,-48.311268
0,257,-6.360211,-48.028214
0,258,-7.508686,-47.513161
0,259,-8.514490,-46.509594
0,260,-8.867229,-45.619350
0,261,-9.147188,-44.471935
0,262,-9.236691,-43.494183
0,263,-9.275819,-42.493942
0,264,-9.306760,-41.496899
0,265,-9.358137,-40.490944
0,266,-9.454326,-39.493233
0,267,-9.606404,-38.523647
0,268,-9.857564,-37.617809
0,269,-10.499728,-36.499798
0,270,-11.528358,-35.544083
0,271,-12.663629,-34.852757
0,272,-13.499893,-34.499744
0,273,-14.696926,-33.957645
0,274,-15.533313,-33.584423
0,275,-16.430243,-33.293015
0,276,-17.581633,-32.926819
0,277,-18.494465,-32.852448
0,278,-19.365330,-33.003548
0,279,-20.486387,-33.520683
0,280,-21.037426,-34.042633
0,281,-22.078751,-34.939407
0,282,-23.078964,-35.924603
0,283,-24.070765,-36.932903
0,284,-25.134315,-37.937454
0,285,-26.453508,-38.625759
0,286,-27.513523,-38.729900
0,287,-28.520578,-38.548588
0,288,-29.760334,-37.896042
0,289,-31.006441,-37.150379
0,290,-31.527826,-36.534721
0,291,-32.584450,-35.595524
0,292,-33.633801,-34.645767
0,293,-34.655140,-33.644562
0,294,-35.600323,-32.589256
0,295,-36.558105,-31.551418
0,296,-37.495350,-30.496195
0,297,-38.052734,-29.897278
0,298,-38.687580,-28.578444
0,299,-38.862221,-27.465834
0,300,-38.748310,-26.417728
0,301,-38.433170,-25.543020
0,302,-37.571041,-24.437838
0,303,-36.609840,-23.398727
0,304,-35.638908,-22.373083
0,305,-34.718750,-21.328018
0,306,-34.032368,-20.211937
0,307,-33.637474,-19.450510
0,308,-33.403156,-18.521219
0,309,-33.273144,-17.516851
0,310,-33.309185,-16.477362
0,311,-33.479431,-15.494370
0,312,-33.724964,-14.576722
0,313,-34.237003,-13.397636
0,314,-34.557545,-12.523734
0,315,-34.913776,-11.682472
0,316,-35.547878,-10.529209
0,317,-36.470493,-9.465037
0,318,-37.593910,-8.821462
0,319,-38.514191,-8.638357
0,320,-39.501579,-8.562193
0,321,-40.500671,-8.526278
0,322,-41.500130,-8.502310
