case,kind,truth_row,truth_column,truth_angle,truth_scale,found,row,column,angle,scale,position_error,angle_error,scale_error,total_ms
0,translation,44.07,51.030000000000001,-0,1,1,44.067018068254974,51.031059812288653,0.00021287986953736,1.0011015619204713,0.003164667284118908,0.00021287986953736,0.0011015619204712834,11.717286
1,translation,44.07,51.230000000000004,-0,1,1,44.060979322768162,51.228094213593266,-0.00017231127589369396,1.0008072347510024,0.0092197960687376602,-0.00017231127589369396,0.00080723475100241693,11.911087999999999
2,translation,44.07,51.43,-0,1,1,44.062359718134324,51.420559984061285,0.00021923227625180204,1.0007909103064911,0.012144455850723369,0.00021923227625180204,0.0007909103064911438,12.842487
3,translation,44.07,51.630000000000003,-0,1,1,44.060770167028402,51.641695476820132,0.00023497722051760329,1.0003869231718385,0.014898791720599368,0.00023497722051760329,0.00038692317183852687,12.955080000000001
4,translation,44.07,51.829999999999998,-0,1,1,44.062533254571889,51.834920939291507,0.00011952363525859738,1.0006279231806119,0.008942479007464043,0.00011952363525859738,0.00062792318061188901,11.09573
5,translation,44.32,51.030000000000001,-0,1,1,44.308391585392513,51.027043002410586,-0.00032549179352119679,1.0002894900962906,0.011979112005617073,-0.00032549179352119679,0.00028949009629064548,11.287349000000001
6,translation,44.32,51.230000000000004,-0,1,1,44.303565876996188,51.216396339955466,-0.00076867061308925465,1.0004064436941904,0.021334009597630176,-0.00076867061308925465,0.00040644369419040594,11.055019
7,translation,44.32,51.43,-0,1,1,44.302039747053826,51.419712041667317,-0.00062556115615322117,1.0001053478312674,0.020698134518491902,-0.00062556115615322117,0.00010534783126736613,11.236962999999999
8,translation,44.32,51.630000000000003,-0,1,1,44.303706036878935,51.642730980782254,-0.00031293717449039116,0.99983506055927407,0.020677792577271686,-0.00031293717449039116,-0.00016493944072593081,10.91666
9,translation,44.32,51.829999999999998,-0,1,1,44.304096115886139,51.840156719905011,0.00023308656603851239,1.0001708707772521,0.018870413062145569,0.00023308656603851239,0.00017087077725208566,11.410124
10,translation,44.57,51.030000000000001,-0,1,1,44.578040811852567,51.030491350603064,1.6760419167091623e-05,1.0007027023374344,0.008055810366655175,1.6760419167091623e-05,0.00070270233743441324,11.127548000000001
11,translation,44.57,51.230000000000004,-0,1,1,44.579819464494584,51.218674614888819,0.00010729599834523317,1.0005233888460938,0.014989537380354202,0.00010729599834523317,0.00052338884609381964,11.009691
12,translation,44.57,51.43,-0,1,1,44.582651653979163,51.41798838217241,0.00024107498914524786,1.0003636239539033,0.017445438121311704,0.00024107498914524786,0.0003636239539033248,11.006786999999999
13,translation,44.57,51.630000000000003,-0,1,1,44.580107721548536,51.64519352828372,0.00090240905292548459,0.999962552351921,0.018248543410663131,0.00090240905292548459,-3.7447648079003137e-05,11.923776999999999
14,translation,44.57,51.829999999999998,-0,1,1,44.583640452099878,51.83611445773046,0.0011526223869240502,1.0002220648067466,0.014948194768154151,0.0011526223869240502,0.00022206480674658025,10.992015
